P_val 	T_val 	x_val 	y_val 	y_calc	absolute_deviation 	relative_deviation 
0.4591E+01	0.2931E+03	0.4991E+02	0.1975E-01	0.2006E-01	-.3083E-03	-.1561E-01
0.2774E+01	0.2931E+03	0.4991E+02	0.1431E-01	0.1439E-01	-.7519E-04	-.5254E-02
0.1233E+01	0.2931E+03	0.4991E+02	0.7360E-02	0.7266E-02	0.9383E-04	0.1275E-01
0.3420E+00	0.2931E+03	0.4991E+02	0.2100E-02	0.2184E-02	-.8366E-04	-.3984E-01
0.4569E+01	0.2881E+03	0.4991E+02	0.2182E-01	0.2156E-01	0.2613E-03	0.1198E-01
0.2736E+01	0.2881E+03	0.4991E+02	0.1592E-01	0.1600E-01	-.8402E-04	-.5277E-02
0.1211E+01	0.2881E+03	0.4991E+02	0.8290E-02	0.8211E-02	0.7934E-04	0.9571E-02
0.3340E+00	0.2881E+03	0.4991E+02	0.2360E-02	0.2424E-02	-.6398E-04	-.2711E-01
0.2694E+01	0.2831E+03	0.4991E+02	0.1801E-01	0.1797E-01	0.3957E-04	0.2197E-02
0.1187E+01	0.2831E+03	0.4991E+02	0.9400E-02	0.9361E-02	0.3917E-04	0.4167E-02
0.3250E+00	0.2831E+03	0.4991E+02	0.2710E-02	0.2750E-02	-.4046E-04	-.1493E-01
0.2646E+01	0.2781E+03	0.4991E+02	0.2024E-01	0.2026E-01	-.2433E-04	-.1202E-02
0.1156E+01	0.2781E+03	0.4991E+02	0.1073E-01	0.1066E-01	0.6928E-04	0.6457E-02
0.3150E+00	0.2781E+03	0.4991E+02	0.3100E-02	0.3154E-02	-.5413E-04	-.1746E-01
0.2585E+01	0.2731E+03	0.4991E+02	0.2276E-01	0.2283E-01	-.7211E-04	-.3168E-02
0.1118E+01	0.2731E+03	0.4991E+02	0.1220E-01	0.1207E-01	0.1264E-03	0.1036E-01
0.3030E+00	0.2731E+03	0.4991E+02	0.3520E-02	0.3613E-02	-.9329E-04	-.2650E-01
0.4567E+01	0.2981E+03	0.5289E+02	0.1872E-01	0.1859E-01	0.1264E-03	0.6754E-02
0.2918E+01	0.2981E+03	0.5289E+02	0.1331E-01	0.1340E-01	-.8927E-04	-.6707E-02
0.1329E+01	0.2981E+03	0.5289E+02	0.6990E-02	0.6837E-02	0.1531E-03	0.2190E-01
0.2630E+00	0.2981E+03	0.5289E+02	0.1440E-02	0.1578E-02	-.1379E-03	-.9580E-01
0.4537E+01	0.2931E+03	0.5289E+02	0.1942E-01	0.1973E-01	-.3080E-03	-.1586E-01
0.2885E+01	0.2931E+03	0.5289E+02	0.1457E-01	0.1466E-01	-.9249E-04	-.6348E-02
0.1310E+01	0.2931E+03	0.5289E+02	0.7700E-02	0.7597E-02	0.1028E-03	0.1335E-01
0.2580E+00	0.2931E+03	0.5289E+02	0.1580E-02	0.1662E-02	-.8236E-04	-.5213E-01
0.4513E+01	0.2881E+03	0.5289E+02	0.2148E-01	0.2125E-01	0.2277E-03	0.1060E-01
0.2852E+01	0.2881E+03	0.5289E+02	0.1622E-01	0.1631E-01	-.8874E-04	-.5471E-02
0.1285E+01	0.2881E+03	0.5289E+02	0.8650E-02	0.8565E-02	0.8452E-04	0.9771E-02
0.2530E+00	0.2881E+03	0.5289E+02	0.1780E-02	0.1833E-02	-.5300E-04	-.2978E-01
0.2811E+01	0.2831E+03	0.5289E+02	0.1836E-01	0.1830E-01	0.6015E-04	0.3276E-02
0.1261E+01	0.2831E+03	0.5289E+02	0.9810E-02	0.9766E-02	0.4437E-04	0.4523E-02
0.2470E+00	0.2831E+03	0.5289E+02	0.2040E-02	0.2078E-02	-.3849E-04	-.1887E-01
0.2764E+01	0.2781E+03	0.5289E+02	0.2060E-01	0.2063E-01	-.3245E-04	-.1575E-02
0.1228E+01	0.2781E+03	0.5289E+02	0.1084E-01	0.1111E-01	-.2722E-03	-.2511E-01
0.2390E+00	0.2781E+03	0.5289E+02	0.2320E-02	0.2382E-02	-.6164E-04	-.2657E-01
0.2757E+01	0.2731E+03	0.5289E+02	0.2339E-01	0.2352E-01	-.1313E-03	-.5615E-02
0.1185E+01	0.2731E+03	0.5289E+02	0.1268E-01	0.1255E-01	0.1267E-03	0.9993E-02
0.2300E+00	0.2731E+03	0.5289E+02	0.2660E-02	0.2740E-02	-.8040E-04	-.3022E-01
0.4644E+01	0.2981E+03	0.5549E+02	0.1879E-01	0.1862E-01	0.1688E-03	0.8982E-02
0.2759E+01	0.2981E+03	0.5549E+02	0.1263E-01	0.1270E-01	-.6991E-04	-.5535E-02
0.1330E+01	0.2981E+03	0.5549E+02	0.6940E-02	0.6788E-02	0.1520E-03	0.2190E-01
